soc_emsi_2010_4,year,I_Rank,any_max,any_index_nor,any_Rank
1115,2012,0.699186992,0.749319526,0.05419437,0.691056911
1116,2012,0.571815718,0.749319526,0.140320481,0.89701897
1121,2012,0.685636856,0.749319526,0.037028343,0.582655827
1122,2012,0.384823848,0.749319526,0.015039106,0.330623306
1123,2012,0.495934959,0.749319526,0.021281721,0.428184282
1131,2012,0.785907859,0.749319526,0.030951003,0.528455285
1132,2012,0.905149051,0.749319526,0.056568744,0.704607046
1133,2012,0.775067751,0.749319526,0.038787635,0.601626016
1134,2012,0.910569106,0.749319526,0.046006539,0.647696477
1135,2012,0.66395664,0.749319526,0.019269394,0.403794038
1136,2012,0.983739837,0.749319526,0.397591457,0.972899729
1139,2012,0.756097561,0.749319526,0.032545069,0.552845528
1150,2012,0.468834688,0.749319526,0.010847449,0.246612466
1161,2012,0.848238482,0.749319526,0.045881087,0.64498645
1162,2012,0.875338753,0.749319526,0.083698462,0.807588076
1171,2012,0.737127371,0.749319526,0.062588744,0.723577236
1172,2012,0.009485095,0.749319526,0.035369794,0.566395664
1173,2012,0.379403794,0.749319526,0.042939944,0.628726287
1181,2012,0.447154472,0.749319526,0.013010344,0.279132791
1184,2012,0.547425474,0.749319526,0.027676764,0.493224932
1190,2012,0.268292683,0.749319526,0.006978626,0.165311653
1211,2012,0.474254743,0.749319526,0.025122708,0.466124661
1213,2012,0.482384824,0.749319526,0.019396384,0.406504065
1221,2012,0.330623306,0.749319526,0.007990643,0.189701897
1223,2012,0.092140921,0.749319526,0.003635137,0.092140921
1224,2012,0.151761518,0.749319526,0.006906916,0.162601626
1225,2012,0.33604336,0.749319526,0.013134983,0.284552846
1226,2012,0.821138211,0.749319526,0.030162902,0.52303523
1241,2012,0.428184282,0.749319526,0.017470104,0.37398374
1242,2012,0.143631436,0.749319526,0.006649854,0.151761518
1251,2012,0.552845528,0.749319526,0.023545695,0.444444444
1252,2012,0.403794038,0.749319526,0.011745203,0.257452575
1253,2012,0.021680217,0.749319526,0.002385934,0.048780488
1254,2012,0.111111111,0.749319526,0.008080332,0.195121951
1255,2012,0.498644986,0.749319526,0.021148145,0.425474255
1259,2012,0.726287263,0.749319526,0.053023375,0.688346883
2111,2012,0.577235772,0.749319526,0.052954211,0.685636856
2112,2012,0.601626016,0.749319526,0.059437273,0.718157182
2113,2012,0.761517615,0.749319526,0.074479448,0.764227642
2114,2012,0.628726287,0.749319526,0.032027051,0.544715447
2119,2012,0.615176152,0.749319526,0.041053588,0.612466125
2121,2012,0.680216802,0.749319526,0.104075014,0.834688347
2122,2012,0.512195122,0.749319526,0.135071529,0.891598916
2123,2012,0.609756098,0.749319526,0.206616947,0.940379404
2124,2012,0.707317073,0.749319526,0.359732275,0.967479675
2126,2012,0.693766938,0.749319526,0.259261474,0.953929539
2127,2012,0.631436314,0.749319526,0.08235714,0.802168022
2129,2012,0.723577236,0.749319526,0.126782208,0.87804878
2133,2012,0.891598916,0.749319526,0.209754151,0.945799458
2134,2012,0.953929539,0.749319526,0.298388527,0.964769648
2135,2012,0.975609756,0.749319526,0.523884402,0.986449864
2136,2012,0.929539295,0.749319526,0.866866322,0.997289973
2137,2012,0.943089431,0.749319526,1,1
2139,2012,0.913279133,0.749319526,0.57174411,0.989159892
2141,2012,0.490514905,0.749319526,0.017857842,0.379403794
2142,2012,0.701897019,0.749319526,0.067924777,0.742547425
2150,2012,0.83197832,0.749319526,0.042567674,0.623306233
2211,2012,0.273712737,0.749319526,0.013092611,0.281842818
2212,2012,0.349593496,0.749319526,0.017824586,0.376693767
2213,2012,0.35501355,0.749319526,0.008104402,0.197831978
2214,2012,0.089430894,0.749319526,0.003735851,0.094850949
2215,2012,0.333333333,0.749319526,0.048085413,0.66395664
2216,2012,0.078590786,0.749319526,0.009772626,0.233062331
2217,2012,0.433604336,0.749319526,0.073425931,0.750677507
2218,2012,0.314363144,0.749319526,0.022975842,0.433604336
2219,2012,0.292682927,0.749319526,0.01531782,0.338753388
2221,2012,0.246612466,0.749319526,0.034374593,0.558265583
2222,2012,0.135501355,0.749319526,0.035070575,0.563685637
2223,2012,0.146341463,0.749319526,0.027855107,0.498644986
2229,2012,0.2899729,0.749319526,0.013480078,0.295392954
2231,2012,0.230352304,0.749319526,0.008665575,0.214092141
2232,2012,0.094850949,0.749319526,0.002584589,0.056910569
2311,2012,0.471544715,0.749319526,0.013315021,0.287262873
2312,2012,0.20596206,0.749319526,0.00298964,0.073170732
2314,2012,0.219512195,0.749319526,0.003109949,0.075880759
2315,2012,0.238482385,0.749319526,0.003802621,0.097560976
2316,2012,0.216802168,0.749319526,0.002804389,0.062330623
2317,2012,0.417344173,0.749319526,0.007861363,0.184281843
2318,2012,0.620596206,0.749319526,0.024286939,0.455284553
2319,2012,0.487804878,0.749319526,0.013826376,0.308943089
2412,2012,0.533875339,0.749319526,0.037766724,0.593495935
2413,2012,0.325203252,0.749319526,0.010877603,0.249322493
2419,2012,0.344173442,0.749319526,0.018338234,0.39295393
2421,2012,0.81300813,0.749319526,0.030074003,0.517615176
2423,2012,0.970189702,0.749319526,0.281819146,0.959349593
2424,2012,0.810298103,0.749319526,0.076552529,0.772357724
2425,2012,0.888888889,0.749319526,0.116224746,0.859078591
2426,2012,0.745257453,0.749319526,0.077079046,0.777777778
2429,2012,0.921409214,0.749319526,0.205873963,0.937669377
2431,2012,0.894308943,0.749319526,0.272695004,0.956639566
2432,2012,0.986449864,0.749319526,0.156475152,0.913279133
2433,2012,0.295392954,0.749319526,0.015745304,0.346883469
2434,2012,0.514905149,0.749319526,0.025349567,0.47696477
2435,2012,0.598915989,0.749319526,0.124033304,0.875338753
2436,2012,0.585365854,0.749319526,0.069077258,0.745257453
2442,2012,0.211382114,0.749319526,0.013818693,0.303523035
2443,2012,0.260162602,0.749319526,0.028689131,0.506775068
2444,2012,0.322493225,0.749319526,0.006524971,0.146341463
2449,2012,0.520325203,0.749319526,0.00679878,0.157181572
2451,2012,0.87804878,0.749319526,0.059006582,0.712737127
2452,2012,0.802168022,0.749319526,0.045793141,0.642276423
2461,2012,0.718157182,0.749319526,0.184059131,0.926829268
2462,2012,0.623306233,0.749319526,0.047013689,0.658536585
2463,2012,0.009485095,0.749319526,0,0.002710027
2471,2012,0.962059621,0.749319526,0.132106612,0.883468835
2472,2012,0.883468835,0.749319526,0.051232785,0.672086721
2473,2012,0.978319783,0.749319526,0.10872407,0.848238482
3111,2012,0.596205962,0.749319526,0.042910425,0.62601626
3112,2012,0.539295393,0.749319526,0.097997732,0.823848238
3113,2012,0.579945799,0.749319526,0.077115669,0.780487805
3114,2012,0.509485095,0.749319526,0.120517516,0.867208672
3115,2012,0.563685637,0.749319526,0.115889752,0.856368564
3116,2012,0.948509485,0.749319526,0.091162577,0.815718157
3119,2012,0.691056911,0.749319526,0.079691017,0.785907859
3121,2012,0.940379404,0.749319526,0.209636248,0.943089431
3122,2012,0.672086721,0.749319526,0.288363444,0.962059621
3131,2012,0.989159892,0.749319526,0.716996499,0.994579946
3132,2012,0.991869919,0.749319526,0.623763964,0.991869919
3213,2012,0.390243902,0.749319526,0.023637204,0.449864499
3216,2012,0.06504065,0.749319526,0.004681493,0.113821138
3217,2012,0.27100271,0.749319526,0.015705781,0.341463415
3218,2012,0.555555556,0.749319526,0.052872042,0.682926829
3219,2012,0.45799458,0.749319526,0.017219057,0.363143631
3231,2012,0.411924119,0.749319526,0.008778978,0.222222222
3233,2012,0.208672087,0.749319526,0.011855374,0.262872629
3234,2012,0.341463415,0.749319526,0.017888377,0.387533875
3235,2012,0.506775068,0.749319526,0.017886112,0.384823848
3239,2012,0.420054201,0.749319526,0.013821138,0.306233062
3311,2012,0.731707317,0.749319526,0.040408196,0.609756098
3312,2012,0.845528455,0.749319526,0.055234922,0.696476965
3313,2012,0.300813008,0.749319526,0.01694249,0.357723577
3314,2012,0.617886179,0.749319526,0.055054531,0.693766938
3315,2012,0.009485095,0.749319526,0.01415962,0.317073171
3319,2012,0.634146341,0.749319526,0.154465718,0.910569106
3411,2012,0.997289973,0.749319526,0.40960505,0.975609756
3412,2012,0.932249322,0.749319526,0.137439746,0.894308943
3413,2012,0.382113821,0.749319526,0.013842637,0.311653117
3414,2012,0.178861789,0.749319526,0.002167077,0.037940379
3415,2012,0.287262873,0.749319526,0.007244416,0.170731707
3416,2012,0.967479675,0.749319526,0.145774566,0.905149051
3417,2012,0.93495935,0.749319526,0.131641553,0.880758808
3421,2012,0.994579946,0.749319526,0.479166165,0.98102981
3422,2012,0.964769648,0.749319526,0.228261846,0.948509485
3441,2012,0.493224932,0.749319526,0.035504261,0.571815718
3442,2012,0.409214092,0.749319526,0.012006266,0.265582656
3443,2012,0.796747967,0.749319526,0.016887846,0.35501355
3511,2012,0.766937669,0.749319526,0.041694407,0.620596206
3512,2012,0.604336043,0.749319526,0.02395098,0.452574526
3513,2012,0.558265583,0.749319526,0.036492965,0.577235772
3520,2012,0.376693767,0.749319526,0.019596807,0.409214092
3531,2012,0.588075881,0.749319526,0.03881417,0.604336043
3532,2012,0.674796748,0.749319526,0.026282165,0.479674797
3533,2012,0.612466125,0.749319526,0.031893939,0.54200542
3534,2012,0.861788618,0.749319526,0.066667752,0.737127371
3535,2012,0.455284553,0.749319526,0.008740319,0.216802168
3536,2012,0.550135501,0.749319526,0.074273975,0.758807588
3537,2012,0.859078591,0.749319526,0.046986007,0.653116531
3538,2012,0.840108401,0.749319526,0.045221343,0.631436314
3539,2012,0.899728997,0.749319526,0.135014105,0.888888889
3541,2012,0.791327913,0.749319526,0.037765662,0.590785908
3542,2012,0.834688347,0.749319526,0.046086519,0.650406504
3543,2012,0.98102981,0.749319526,0.141953578,0.899728997
3544,2012,0.43902439,0.749319526,0.015734508,0.344173442
3545,2012,0.74796748,0.749319526,0.047002088,0.655826558
3546,2012,0.64498645,0.749319526,0.030149446,0.520325203
3550,2012,0.525745257,0.749319526,0.020852865,0.417344173
3561,2012,0.956639566,0.749319526,0.118663071,0.861788618
3562,2012,0.780487805,0.749319526,0.037233917,0.585365854
3563,2012,0.867208672,0.749319526,0.077173671,0.783197832
3564,2012,0.566395664,0.749319526,0.02526816,0.474254743
3565,2012,0.696476965,0.749319526,0.052155245,0.674796748
3567,2012,0.449864499,0.749319526,0.031025153,0.531165312
4112,2012,0.829268293,0.749319526,0.073648577,0.753387534
4113,2012,0.89701897,0.749319526,0.097108545,0.821138211
4114,2012,0.815718157,0.749319526,0.028107058,0.501355014
4121,2012,0.777777778,0.749319526,0.033467987,0.555555556
4122,2012,0.872628726,0.749319526,0.055811262,0.699186992
4123,2012,0.590785908,0.749319526,0.028826914,0.509485095
4124,2012,0.804878049,0.749319526,0.012609866,0.276422764
4129,2012,0.79403794,0.749319526,0.04900594,0.669376694
4131,2012,0.951219512,0.749319526,0.168701364,0.918699187
4132,2012,0.60704607,0.749319526,0.036447384,0.574525745
4133,2012,0.918699187,0.749319526,0.089168197,0.81300813
4134,2012,0.886178862,0.749319526,0.080460106,0.791327913
4135,2012,0.842818428,0.749319526,0.105562707,0.842818428
4138,2012,0.837398374,0.749319526,0.083264218,0.804878049
4151,2012,0.926829268,0.749319526,0.111301303,0.850948509
4159,2012,0.742547425,0.749319526,0.10542071,0.840108401
4161,2012,0.799457995,0.749319526,0.067102162,0.739837398
4162,2012,0.902439024,0.749319526,0.075249754,0.766937669
4211,2012,0.569105691,0.749319526,0.160971665,0.91598916
4212,2012,0.463414634,0.749319526,0.183045293,0.924119241
